日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-09-27,良,72,254,46,79,3,54,0.75,58
2015-09-28,良,64,246,44,49,3,42,1.13,39
2015-09-29,良,60,232,43,31,2,42,1.11,11
2015-09-30,优,41,103,28,16,2,36,0.68,24
2015-10-01,优,33,27,13,22,2,23,0.34,43
2015-10-02,良,58,139,27,66,3,44,0.6,37
2015-10-03,良,56,128,25,65,3,45,0.64,44
2015-10-04,轻度污染,136,336,103,145,8,72,1.26,47
2015-10-05,严重污染,263,361,212,217,8,75,1.69,83
2015-10-06,严重污染,335,364,281,189,7,77,1.93,94
2015-10-07,严重污染,315,364,265,96,7,74,1.81,64
2015-10-08,优,31,31,9,25,2,20,0.3,41
2015-10-09,优,41,77,14,38,2,27,0.35,37
2015-10-10,优,23,8,7,18,2,13,0.27,43
2015-10-11,优,30,29,9,23,2,18,0.31,58
2015-10-12,优,36,35,14,35,3,40,0.45,38
2015-10-13,良,56,84,30,65,5,61,0.71,37
2015-10-14,轻度污染,124,280,93,131,14,88,1.83,29
2015-10-15,轻度污染,137,291,103,128,8,85,1.43,56
2015-10-16,重度污染,237,353,191,211,12,103,1.96,71
2015-10-17,严重污染,342,366,291,179,13,114,2.46,49
2015-10-18,良,79,201,53,44,6,43,0.84,33
2015-10-19,良,79,171,51,96,6,56,0.81,23
2015-10-20,轻度污染,103,254,75,112,8,64,1.4,6
2015-10-21,良,69,132,49,36,2,39,0.95,13
2015-10-22,优,43,38,29,33,2,40,0.71,13
2015-10-23,良,71,131,51,64,2,51,0.86,14
2015-10-24,良,77,176,55,73,5,50,1.06,22
2015-10-25,良,59,141,35,66,7,59,0.92,9
2015-10-26,良,61,148,30,47,2,28,0.51,34
2015-10-27,优,40,61,13,41,2,32,0.44,32
2015-10-28,优,19,3,6,16,2,18,0.3,41
2015-10-29,优,25,4,6,21,2,16,0.3,48
2015-10-30,优,41,80,20,44,3,41,0.61,22
2015-10-31,良,60,221,38,64,4,54,0.81,20
2015-11-01,良,92,300,68,99,6,79,0.96,28
2015-11-02,轻度污染,102,257,75,115,7,79,1.42,18
2015-11-03,中度污染,184,344,141,168,15,83,1.82,29
2015-11-04,重度污染,250,366,199,221,14,101,1.95,13
2015-11-05,中度污染,153,330,121,78,7,55,1.13,14
2015-11-06,优,29,32,20,1,2,27,0.57,29
2015-11-07,优,28,20,19,10,2,28,0.61,33
2015-11-08,良,77,236,56,47,3,43,0.92,21
2015-11-09,中度污染,160,334,121,118,3,56,1.61,3
2015-11-10,中度污染,166,340,125,79,3,54,1.56,3
2015-11-11,轻度污染,131,297,99,31,4,52,1.79,6
2015-11-12,中度污染,190,336,147,97,5,58,2.43,2
2015-11-13,严重污染,256,364,205,142,14,68,3.06,2
2015-11-14,严重污染,309,364,258,172,16,79,3.56,5
2015-11-15,重度污染,241,362,192,122,12,68,3.19,14
2015-11-16,良,78,250,57,43,8,50,1.46,8
2015-11-17,良,88,315,64,84,6,43,1.67,7
2015-11-18,良,88,327,64,83,8,47,1.2,3
2015-11-19,良,100,328,74,0,2,43,1.44,2
2015-11-20,良,97,307,72,0,9,44,2.49,2
2015-11-21,良,59,170,41,4,7,40,2.17,2
2015-11-22,良,69,298,49,2,6,37,1.02,19
2015-11-23,优,43,155,29,13,10,26,0.74,37
2015-11-24,良,57,270,41,30,8,45,0.99,23
2015-11-25,良,72,286,50,34,9,37,1.13,26
2015-11-26,良,52,163,33,43,10,34,0.8,38
2015-11-27,重度污染,232,361,183,161,34,84,2.6,7
2015-11-28,严重污染,303,361,252,237,41,99,3.76,7
2015-11-29,严重污染,291,354,240,272,38,102,4.73,10
2015-11-30,严重污染,364,358,339,337,23,121,5.71,7
2015-12-01,严重污染,478,366,476,461,35,136,8.11,5
2015-12-02,优,36,24,18,16,3,17,0.5,43
2015-12-03,优,25,15,9,22,4,13,0.37,41
2015-12-04,优,36,59,21,34,9,33,0.72,31
2015-12-05,良,72,216,52,72,18,62,1.51,15
2015-12-06,中度污染,176,340,135,159,30,90,2.74,6
2015-12-07,重度污染,233,336,182,201,28,90,3.5,5
2015-12-08,严重污染,295,350,244,240,20,92,4.28,4
2015-12-09,严重污染,297,350,246,17,32,93,3.6,5
2015-12-10,轻度污染,138,278,109,1,15,51,1.95,27
2015-12-11,良,57,138,39,45,12,56,1.22,18
2015-12-12,轻度污染,146,299,113,142,21,81,2.47,7
2015-12-13,重度污染,203,332,160,187,35,94,3.67,5
2015-12-14,轻度污染,138,260,109,36,11,58,2.04,32
2015-12-15,优,26,5,6,9,3,13,0.39,51
2015-12-16,优,20,3,6,11,3,15,0.42,37
2015-12-17,良,66,241,47,62,15,53,1.36,13
2015-12-18,良,72,183,48,72,15,54,1.42,22
2015-12-19,中度污染,162,316,122,152,28,83,3.04,8
2015-12-20,严重污染,259,338,208,220,24,102,3.61,7
2015-12-21,严重污染,280,325,229,234,23,104,3.98,8
2015-12-22,严重污染,351,347,308,304,29,104,5.41,7
2015-12-23,严重污染,303,326,254,291,20,99,4.69,17
2015-12-24,中度污染,151,274,117,138,17,71,2.24,22
2015-12-25,严重污染,468,366,463,464,12,135,6.97,7
2015-12-26,严重污染,333,365,290,389,8,105,5.28,6
2015-12-27,良,65,146,47,31,11,51,1.11,14
2015-12-28,轻度污染,141,293,107,119,21,75,2.27,7
2015-12-29,严重污染,310,362,263,303,32,114,4.16,6
2015-12-30,轻度污染,113,174,88,87,11,54,1.64,32
2015-12-31,良,86,127,58,83,15,67,1.67,14
2016-01-01,重度污染,212,337,167,185,32,102,3.37,7
2016-01-02,严重污染,303,351,253,272,34,120,4.54,9
2016-01-03,严重污染,302,326,256,299,19,86,3.78,11
2016-01-04,良,62,86,42,24,5,32,1.03,45
2016-01-05,优,46,67,29,40,9,33,0.8,33
2016-01-06,优,45,70,25,47,10,34,0.93,32
2016-01-07,优,24,2,11,20,6,25,0.52,42
2016-01-08,优,46,62,29,43,11,37,0.92,34
2016-01-09,良,95,183,69,91,21,69,1.77,12
2016-01-10,良,73,155,49,78,20,55,1.52,22
2016-01-11,优,26,20,10,22,5,22,0.54,50
2016-01-12,优,29,19,12,27,7,27,0.63,44
2016-01-13,优,43,46,23,43,12,44,0.9,33
2016-01-14,良,89,197,65,89,24,66,1.81,21
2016-01-15,轻度污染,123,248,93,119,32,80,2.48,12
2016-01-16,中度污染,166,299,126,145,44,71,2.56,8
2016-01-17,良,62,136,41,42,9,29,0.89,47
2016-01-18,优,42,61,9,42,3,15,0.51,54
2016-01-19,良,80,168,56,82,20,58,1.55,18
2016-01-20,轻度污染,149,339,112,136,52,76,3.33,6
2016-01-21,中度污染,175,347,132,148,28,68,2.78,6
2016-01-22,优,45,119,17,35,4,16,0.64,55
2016-01-23,优,42,85,8,41,3,11,0.57,56
2016-01-24,良,52,144,11,54,5,20,0.58,49
2016-01-25,优,47,50,26,46,15,39,0.79,36
2016-01-26,良,56,85,30,55,16,33,0.74,41
2016-01-27,轻度污染,122,295,91,100,35,73,2.03,13
2016-01-28,中度污染,157,315,119,128,43,77,2.32,17
2016-01-29,良,89,229,65,84,35,55,1.83,16
2016-01-30,良,67,171,48,58,20,46,1.26,25
2016-01-31,优,33,29,16,27,8,26,0.58,50
2016-02-01,优,27,41,12,22,8,28,0.56,48
2016-02-02,优,38,40,26,31,14,43,0.85,39
2016-02-03,优,50,39,34,44,18,52,1.16,29
2016-02-04,优,31,3,12,23,7,21,0.47,61
2016-02-05,优,38,35,9,30,5,14,0.36,67
2016-02-06,优,45,44,27,38,11,30,0.71,51
2016-02-07,良,66,93,40,68,18,34,0.9,45
2016-02-08,中度污染,198,277,190,250,53,35,1.01,44
2016-02-09,良,56,53,40,48,18,37,1.05,46
2016-02-10,轻度污染,122,291,92,94,45,61,2.4,26
2016-02-11,重度污染,206,345,156,166,43,68,3.14,11
2016-02-12,中度污染,192,330,147,99,18,54,2.2,24
2016-02-13,优,29,22,9,8,4,12,0.34,60
2016-02-14,优,34,77,6,14,3,10,0.35,66
2016-02-15,优,44,170,6,45,3,12,0.32,64
2016-02-16,优,39,59,7,37,4,15,0.31,63
2016-02-17,良,59,165,41,46,14,43,1.0,39
2016-02-18,优,41,16,14,31,5,21,0.42,66
2016-02-19,优,38,14,14,31,5,24,0.5,55
2016-02-20,优,36,14,14,21,5,18,0.42,61
2016-02-21,轻度污染,101,244,75,95,23,52,1.39,28
2016-02-22,轻度污染,104,265,71,90,16,41,1.15,43
2016-02-23,优,36,42,10,19,4,14,0.35,68
2016-02-24,优,49,95,25,44,8,32,0.74,44
2016-02-25,优,43,45,24,43,9,33,0.72,44
2016-02-26,良,54,107,34,55,12,36,0.74,49
2016-02-27,优,33,16,20,30,8,33,0.58,51
2016-02-28,良,56,90,29,48,7,31,0.74,49
2016-02-29,优,50,81,32,42,10,38,0.68,47
2016-03-01,轻度污染,150,357,114,126,28,79,1.87,23
2016-03-02,重度污染,206,353,159,175,30,103,2.46,27
2016-03-03,严重污染,321,366,271,281,44,114,3.38,23
2016-03-04,严重污染,376,364,326,277,46,113,4.38,11
2016-03-05,重度污染,207,314,59,306,2,19,0.38,66
2016-03-06,轻度污染,114,187,69,177,24,64,1.45,19
2016-03-07,良,67,112,32,84,9,28,0.82,55
2016-03-08,优,35,13,9,25,2,13,0.35,67
2016-03-09,优,33,55,9,22,3,14,0.35,62
2016-03-10,优,46,156,10,47,3,15,0.35,64
2016-03-11,优,47,81,21,49,6,31,0.56,52
2016-03-12,轻度污染,140,346,106,134,37,78,1.74,20
2016-03-13,良,54,102,29,46,8,31,0.64,64
2016-03-14,良,99,255,73,111,19,61,1.23,36
