日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-11-02,中度污染,152,322,115,186,56,100,3.79,11
2015-11-03,良,98,221,71,127,63,69,3.3,32
2015-11-04,良,91,192,65,126,42,54,1.89,31
2015-11-05,良,58,111,23,71,17,22,0.58,37
2015-11-06,优,27,24,3,20,9,8,0.41,50
2015-11-07,优,41,106,21,35,10,18,0.63,53
2015-11-08,良,56,155,36,54,19,33,0.89,38
2015-11-09,良,75,183,54,84,34,62,1.74,20
2015-11-10,良,64,147,42,70,32,46,1.09,33
2015-11-11,良,91,243,67,98,37,55,1.46,24
2015-11-12,良,91,238,66,118,48,67,2.55,10
2015-11-13,良,88,246,56,119,56,75,3.62,8
2015-11-14,良,98,248,71,137,47,68,3.66,15
2015-11-15,良,73,199,47,94,41,44,2.17,23
2015-11-16,优,29,17,5,26,24,23,0.8,34
2015-11-17,优,44,102,13,46,28,30,1.17,22
2015-11-18,优,25,13,6,23,21,27,0.79,29
2015-11-19,优,40,75,15,39,26,27,0.85,23
2015-11-20,优,30,8,15,29,14,23,0.77,26
2015-11-21,优,25,7,12,24,14,18,0.68,36
2015-11-22,优,25,16,8,22,10,13,0.59,44
2015-11-23,优,21,6,7,15,13,17,0.6,41
2015-11-24,优,22,24,7,17,22,25,0.71,39
2015-11-25,优,34,62,17,33,43,40,1.03,31
2015-11-26,优,31,21,13,28,35,44,1.1,31
2015-11-27,良,81,263,53,94,67,95,2.99,12
2015-11-28,良,72,158,48,81,48,58,1.91,22
2015-11-29,良,80,161,55,87,44,69,2.11,15
2015-11-30,良,92,202,68,100,59,72,2.16,16
2015-12-01,轻度污染,115,256,86,127,51,77,3.58,8
2015-12-02,良,83,216,57,98,34,52,2.56,21
2015-12-03,优,25,18,8,24,19,26,0.66,31
2015-12-04,优,35,54,11,34,28,39,1.04,24
2015-12-05,优,43,104,18,44,40,51,1.26,22
2015-12-06,良,75,199,48,93,73,79,2.76,11
2015-12-07,良,68,145,44,78,46,61,1.43,16
2015-12-08,中度污染,152,290,114,182,118,91,5.35,5
2015-12-09,中度污染,176,303,133,209,98,97,4.01,5
2015-12-10,轻度污染,113,242,81,128,54,61,2.56,22
2015-12-11,优,29,14,9,27,20,36,0.63,35
2015-12-12,良,52,94,26,56,52,59,1.1,12
2015-12-13,良,64,140,36,77,44,55,1.23,17
2015-12-14,中度污染,166,285,124,179,45,90,2.89,7
2015-12-15,优,49,121,25,49,22,40,0.95,24
2015-12-16,优,28,15,10,29,21,35,0.6,22
